Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
5-Mar,1.2742 ,2.7061 ,1.2160 ,8.2765 ,5.6488 ,7.7994 ,43.5900 ,105.2500 ,1007.7800 ,3.8000 ,11.1550 ,1.3699 ,6.2116 ,1.6308 ,6.0328 ,99.3900 ,6.8954 ,1.1756 ,31.1060 ,38.5940 ,0.5251 ,2.1200 ,0.7584 
5-Apr,1.2923 ,2.5760 ,1.2359 ,8.2765 ,5.7554 ,7.7984 ,43.6400 ,107.1900 ,1010.0700 ,3.8000 ,11.1120 ,1.3872 ,6.3147 ,1.6511 ,6.1469 ,99.6710 ,7.0814 ,1.1954 ,31.4800 ,39.5210 ,0.5274 ,2.1400 ,0.7726 
5-May,1.3050 ,2.4554 ,1.2555 ,8.2765 ,5.8628 ,7.7914 ,43.4100 ,106.6000 ,1001.8400 ,3.8000 ,10.9760 ,1.3906 ,6.3656 ,1.6507 ,6.3267 ,99.7910 ,7.2382 ,1.2172 ,31.2650 ,39.8010 ,0.5388 ,2.1400 ,0.7876 
5-Jun,1.3043 ,2.4148 ,1.2402 ,8.2765 ,6.1247 ,7.7755 ,43.5200 ,108.7500 ,1012.4600 ,3.8000 ,10.8200 ,1.4118 ,6.4936 ,1.6723 ,6.7396 ,99.9460 ,7.6229 ,1.2665 ,31.3470 ,40.9170 ,0.5501 ,2.1400 ,0.8227 
5-Jul,1.3291 ,2.3702 ,1.2229 ,8.2264 ,6.1943 ,7.7751 ,43.4300 ,111.9500 ,1036.5600 ,3.7872 ,10.6720 ,1.4730 ,6.5783 ,1.6815 ,6.6966 ,100.2830 ,7.8263 ,1.2945 ,31.8860 ,41.7000 ,0.5712 ,2.1400 ,0.8305 
5-Aug,1.3134 ,2.3609 ,1.2043 ,8.1017 ,6.0665 ,7.7709 ,43.5500 ,110.6100 ,1021.6800 ,3.7589 ,10.6860 ,1.4376 ,6.4367 ,1.6623 ,6.4599 ,100.7380 ,7.5951 ,1.2629 ,32.0760 ,41.1320 ,0.5573 ,2.1400 ,0.8133 
5-Sep,1.3070 ,2.2949 ,1.1777 ,8.0919 ,6.0973 ,7.7618 ,43.8500 ,111.2400 ,1029.8400 ,3.7689 ,10.7860 ,1.4312 ,6.3830 ,1.6820 ,6.3661 ,101.3320 ,7.6300 ,1.2671 ,32.9250 ,41.0410 ,0.5536 ,2.1400 ,0.8174 
5-Oct,1.3271 ,2.2536 ,1.1774 ,8.0895 ,6.2064 ,7.7559 ,44.7600 ,114.8700 ,1045.8800 ,3.7735 ,10.8350 ,1.4320 ,6.5103 ,1.6915 ,6.5878 ,101.4850 ,7.8433 ,1.2880 ,33.4680 ,40.8950 ,0.5665 ,2.1400 ,0.8318 
5-Nov,1.3600 ,2.2109 ,1.1815 ,8.0840 ,6.3277 ,7.7538 ,45.6300 ,118.4500 ,1040.7600 ,3.7782 ,10.6720 ,1.4499 ,6.6399 ,1.6981 ,6.6554 ,101.8000 ,8.1157 ,1.3110 ,33.5800 ,41.0970 ,0.5764 ,2.1400 ,0.8482 
5-Dec,1.3472 ,2.2809 ,1.1615 ,8.0755 ,6.2844 ,7.7531 ,45.5600 ,118.4600 ,1022.3800 ,3.7780 ,10.6270 ,1.4395 ,6.7242 ,1.6738 ,6.3480 ,101.9770 ,7.9518 ,1.3053 ,33.2860 ,41.0760 ,0.5728 ,2.1400 ,0.8431 
6-Jan,1.3324 ,2.2666 ,1.1572 ,8.0654 ,6.1530 ,7.7537 ,44.2000 ,115.4800 ,981.4400 ,3.7530 ,10.5420 ,1.4552 ,6.6287 ,1.6310 ,6.0760 ,102.0160 ,7.6697 ,1.2773 ,32.0350 ,39.5190 ,0.5654 ,2.1400 ,0.8247 
